,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Age,Customer_Days,AcceptedCmpOverall,Rango_Edad,Rango_Antiguedad,Monto Total,Marital_Status,Education
0,58138,0,0,635,79,546,120,83,88,3,8,10,4,7,1,63,2822,0,60-69,7 años,1617,Single,Graduation
1,46344,1,1,11,1,6,2,1,6,2,1,1,2,5,0,66,2272,0,60-69,6 años,27,Single,Graduation
2,71613,0,0,426,49,127,111,21,42,1,8,2,10,4,0,55,2471,0,50-59,6 años,776,Together,Graduation
3,26646,1,0,11,4,20,10,3,5,2,2,0,4,6,0,36,2298,0,30-39,6 años,53,Together,Graduation
4,58293,1,0,173,43,118,46,27,15,5,5,3,6,5,0,39,2320,0,30-39,6 años,422,Married,PhD
5,62513,0,1,520,42,98,0,42,14,2,6,4,10,6,0,53,2452,0,50-59,6 años,716,Together,Master
6,55635,0,1,235,65,164,50,49,27,4,7,3,7,6,0,49,2752,0,40-49,7 años,590,Divorced,Graduation
7,33454,1,0,76,10,56,3,1,23,2,4,0,4,8,0,35,2576,0,30-39,7 años,169,Married,PhD
8,30351,1,0,14,0,24,3,3,2,1,3,0,2,9,1,46,2547,0,40-49,6 años,46,Together,PhD
9,5648,1,1,28,0,6,1,1,13,1,1,0,0,13,0,70,2267,1,70+,6 años,49,Together,PhD
10,7500,0,0,6,16,11,11,1,16,1,2,0,3,8,0,44,2752,0,40-49,7 años,61,Married,Basic
11,63033,0,0,194,61,480,120,83,30,1,3,4,8,2,0,61,2385,0,60-69,6 años,1102,Divorced,Graduation
12,59354,1,1,233,2,53,3,5,14,3,6,1,5,6,0,68,2385,0,60-69,6 años,310,Divorced,Master
13,17323,0,0,3,14,17,6,1,5,1,1,0,3,8,0,33,2786,0,30-39,7 años,46,Married,Graduation
14,82800,0,0,1006,22,115,59,68,45,1,7,6,12,3,1,74,2741,2,70+,7 años,1315,Single,PhD
15,41850,1,1,53,5,19,2,13,4,3,3,0,3,8,0,40,2711,0,40-49,7 años,96,Married,Graduation
16,37760,0,0,84,5,38,120,12,28,2,4,1,6,7,0,74,2826,0,70+,7 años,317,Together,Graduation
17,76995,0,1,1012,79,498,0,16,126,2,11,4,9,5,0,71,2617,1,70+,7 años,1782,Married,Master
18,33812,1,0,4,17,19,30,24,39,2,2,1,3,6,0,35,2762,0,30-39,7 años,133,Single,2n Cycle
19,37040,0,0,86,2,73,69,38,48,1,4,2,5,8,0,38,2849,0,30-39,7 años,316,Married,Graduation
20,2447,1,0,1,1,555,1,1,1,6,0,10,0,1,0,41,2698,0,40-49,7 años,1730,Married,Graduation
21,58607,0,1,867,0,86,0,0,19,3,2,3,9,8,0,71,2712,1,70+,7 años,972,Married,PhD
22,65324,0,1,384,0,102,21,32,5,3,6,2,9,4,0,66,2328,0,60-69,6 años,544,Married,PhD
23,40689,0,1,270,3,27,39,6,99,6,7,1,5,8,0,69,2627,0,60-69,7 años,444,Together,Graduation
24,18589,0,0,6,4,25,15,12,13,2,2,1,3,7,0,51,2702,0,50-59,7 años,75,Single,Graduation
25,53359,1,1,173,4,30,3,6,41,4,5,1,4,7,0,44,2557,0,40-49,7 años,257,Married,Graduation
26,38360,1,0,36,2,42,20,21,10,2,2,1,4,3,0,31,2553,0,30-39,6 años,131,Married,Graduation
27,84618,0,0,684,79,555,21,66,0,1,6,9,10,2,0,55,2378,1,50-59,6 años,1672,Married,PhD
28,10979,0,0,8,4,10,2,2,4,2,3,0,3,5,0,31,2197,0,30-39,6 años,30,Divorced,Master
29,38620,0,0,112,17,44,34,22,89,1,2,5,3,3,0,57,2573,0,50-59,7 años,318,Together,Master
30,40548,0,1,110,0,5,2,0,3,2,2,1,4,5,0,50,2786,1,50-59,7 años,120,Together,Graduation
31,46610,0,2,96,12,96,33,22,43,6,4,1,6,6,1,68,2767,0,60-69,7 años,302,Divorced,PhD
32,68657,0,0,482,34,471,119,68,22,1,3,5,9,7,0,74,2653,0,70+,7 años,1196,Married,Master
33,49389,1,1,40,0,19,2,1,3,1,2,0,3,7,0,69,2463,0,60-69,6 años,65,Single,Master
34,67353,0,1,702,17,151,0,8,35,5,5,6,12,2,0,50,2339,0,50-59,6 años,913,Married,PhD
35,23718,1,0,6,3,14,15,7,36,3,3,1,2,7,0,44,2459,0,40-49,6 años,81,Married,2n Cycle
36,42429,0,1,55,0,6,2,0,4,2,1,1,3,5,0,47,2297,0,40-49,6 años,67,Widow,Graduation
37,48948,0,0,437,8,206,120,49,42,2,7,10,5,6,1,77,2672,1,70+,7 años,902,Divorced,PhD
38,80011,0,1,421,76,536,82,83,102,2,8,6,5,4,0,40,2585,0,40-49,7 años,1395,Married,Graduation
39,20559,1,0,13,1,29,3,0,7,2,2,0,3,8,0,35,2633,0,30-39,7 años,53,Married,Master
40,21994,0,1,9,0,6,3,1,3,1,0,0,3,5,0,63,2711,0,60-69,7 años,22,Together,Graduation
41,7500,1,0,3,1,10,3,2,12,3,2,0,3,5,0,45,2429,0,40-49,6 años,31,Married,Master
42,79941,0,0,123,79,266,120,30,126,1,2,4,9,1,0,44,2160,0,40-49,5 años,984,Single,Graduation
43,7500,0,0,3,18,14,15,22,50,3,3,1,3,9,1,24,2756,0,20-29,7 años,122,Married,2n Cycle
44,41728,1,0,13,6,15,3,5,13,1,2,0,2,10,0,52,2560,0,50-59,7 años,55,Together,Graduation
45,72550,1,1,826,50,317,50,38,38,6,5,2,12,8,0,66,2757,0,60-69,7 años,1319,Married,PhD
46,65486,0,1,245,19,125,37,67,14,1,4,2,10,2,0,63,2207,0,60-69,6 años,507,Widow,Graduation
47,79143,0,0,650,37,555,27,83,32,1,6,9,13,3,0,56,2846,0,50-59,7 años,1693,Married,Master
